_id,_score,productId,score,helpfulness_ratio,time,summary
J_kyNJkBLDnO6wEzYK18,7.5490623,B00020SHHQ,5.0,,1153699200,23rd Street Lullaby by PattiScialfa
Y-0sNJkBLDnO6wEzNAV-,7.5490623,B000N0QIHG,5.0,,1153699200,23rd Street Lullaby by PattiScialfa
4go6NJkBLDnO6wEz5WGN,7.5490623,B000002M4A,5.0,0.5,938390400,I'll Remember It
-Qk6NJkBLDnO6wEzUzzr,7.5490623,B000F9T6I8,5.0,0.0,1154908800,Lite but worth it
rQc5NJkBLDnO6wEzIzDV,7.533395,B000F9UE34,5.0,0.8461538461538461,1175385600,Every track is a favorite!
6BZBNJkBLDnO6wEzJo5O,7.533395,B000NNH15G,5.0,0.8461538461538461,1175385600,Every track is a favorite!
wN0kNJkBLDnO6wEz1rjf,7.533395,B000F7MG4G,5.0,0.8461538461538461,1175385600,Every track is a favorite!
dg89NJkBLDnO6wEzeNkC,7.508189,B000009EAD,5.0,,1168128000,Very Wicked Music
N-InNJkBLDnO6wEzKvKQ,7.496144,B000GPIDQW,5.0,1.0,1260057600,Awesome!!
A9kiNJkBLDnO6wEzHHMY,7.496144,B000GALEXQ,5.0,,946252800,metallica or nothing!
e9kiNJkBLDnO6wEzHXRJ,7.496144,B000GALEXQ,5.0,,946252800,metallica or nothing!
fNkiNJkBLDnO6wEzHXRJ,7.496144,B000GALEXQ,5.0,,946252800,metallica or nothing!
TQ89NJkBLDnO6wEzOSAz,7.496144,B000NJLS7C,5.0,1.0,1174521600,Nice Effort
WMEUNJkBLDnO6wEzdVGo,7.496144,B00003CLS2,5.0,,946252800,metallica or nothing!
n8EUNJkBLDnO6wEzdVGo,7.496144,B00003CLS2,5.0,,946252800,metallica or nothing!
oMEUNJkBLDnO6wEzdVGo,7.496144,B00003CLS2,5.0,,946252800,metallica or nothing!
5NIdNJkBLDnO6wEzWyIN,7.496144,B00003W87M,5.0,,946252800,metallica or nothing!
5dIdNJkBLDnO6wEzWyIN,7.496144,B00003W87M,5.0,,946252800,metallica or nothing!
QNIdNJkBLDnO6wEzWyMN,7.496144,B00003W87M,5.0,,946252800,metallica or nothing!
0NIdNJkBLDnO6wEzmXx6,7.496144,B000002BYE,5.0,,906163200,The best Pearl Jam cd yet
o9IdNJkBLDnO6wEzmn8x,7.496144,B000002BYD,5.0,,906163200,The best Pearl Jam cd yet
1tIdNJkBLDnO6wEznIV0,7.496144,B000002BYF,5.0,,906163200,The best Pearl Jam cd yet
Pv40NJkBLDnO6wEzg0FI,7.496144,B00003A9QM,5.0,,946252800,metallica or nothing!
lP40NJkBLDnO6wEzg0Hj,7.496144,B00003A9QM,5.0,,946252800,metallica or nothing!
lf40NJkBLDnO6wEzg0Hj,7.496144,B00003A9QM,5.0,,946252800,metallica or nothing!
VP00NJkBLDnO6wEzJIWT,7.496144,B0000027I1,5.0,,1037059200,A favorite
JhdBNJkBLDnO6wEzhk-W,7.496144,B00002Z88D,5.0,,946252800,metallica or nothing!
gBdBNJkBLDnO6wEzh1A3,7.496144,B00002Z88D,5.0,,946252800,metallica or nothing!
gRdBNJkBLDnO6wEzh1A3,7.496144,B00002Z88D,5.0,,946252800,metallica or nothing!
9x5ENJkBLDnO6wEz8Frw,7.496144,B00002495P,5.0,,1037059200,A favorite
AdchNJkBLDnO6wEzCvOP,7.4944324,B00005J73A,5.0,,995587200,A GREAT CD !
MvIuNJkBLDnO6wEzkDLE,7.4680367,B0000T6JJM,5.0,0.6666666666666666,1138492800,Fantastic!
Y-kqNJkBLDnO6wEzcA47,7.4680367,B0000DESX6,5.0,0.6666666666666666,1138492800,Fantastic!
9egqNJkBLDnO6wEzCFJd,7.4680367,B000A2GNWC,5.0,0.6666666666666666,1138492800,Fantastic!
